NinjaScript File,Error,Code,Line,Column,
AVR_Asia_SingleFile.cs,'AVR_Asia_SingleFile.OnExecutionUpdate(Execution Order)': no suitable method found to override,CS0115,1038,33,
AVR_Asia_SingleFile.cs,'AVR_Asia_SingleFile.OnOrderUpdate(Order)': no suitable method found to override,CS0115,1059,33,
